,Family Friendly,Nightlife,Visual Arts,Performing Arts,Natural,Architecture,Science,Culinary,Ethnic,Water,Historical,Relaxation,Play,Sports,Iconic,Public,Scenic,Educational,Shopping,Animals,Plants,Modern,Beach,Walking
Millenium Park,5,0,2,2,3,4,0,0,0,1,0,5,3,0,5,5,5,0,0,0,3,4,0,3
Art Institute,5,0,5,0,0,3,0,0,0,0,4,2,0,0,5,3,0,4,1,0,0,0,0,2
Wrigley Field,5,0,0,0,0,4,0,0,0,0,5,0,2,5,5,1,1,2,1,0,0,0,0,0
Adler Planetarium,5,0,0,0,1,2,5,0,0,0,3,0,2,0,4,2,0,5,1,0,0,4,0,0
360 Chicago,5,0,0,0,0,5,0,2,0,0,4,3,0,0,5,2,5,2,1,0,0,1,0,0
The Field Museum,5,0,0,0,3,2,5,0,0,0,5,0,3,0,5,2,0,5,1,2,2,2,0,2
Navy Pier,5,2,0,0,0,3,0,4,0,3,2,4,5,2,5,5,3,0,5,0,0,3,0,2
Shedd Aquarium,5,0,0,0,3,1,4,0,0,5,2,2,1,0,3,2,0,5,1,5,2,3,0,2
Lincoln Park Zoo,5,0,0,0,4,2,3,0,0,1,2,3,3,0,3,2,0,4,1,5,3,2,0,4
Museum of Contemporary Art,2,0,5,3,0,4,0,0,0,0,0,3,2,0,2,2,0,3,2,0,0,5,0,0
North Avenue Beach,3,0,0,0,4,0,0,0,0,5,0,5,4,2,1,5,4,0,0,1,1,2,5,3
Chicago Riverwalk,4,0,0,0,0,3,0,0,0,5,3,4,0,0,4,5,4,0,0,0,0,2,0,5
Museum of Science and Industry,5,0,0,0,0,5,5,0,0,0,5,0,5,0,4,2,0,5,1,0,0,4,0,2
Willis Tower Skydeck,4,0,0,0,0,5,0,0,0,0,4,2,0,0,5,2,5,2,1,0,0,1,0,0
Grant Park,5,0,0,0,4,3,0,0,0,1,3,4,2,0,3,5,4,2,0,0,5,2,0,3
Music Box Theatre,2,4,0,5,0,3,0,0,0,0,5,0,0,0,2,1,0,1,0,0,0,1,0,0
The Peggy Notebaret Nature Museum,5,0,0,0,5,2,5,0,0,0,0,0,3,0,1,3,0,5,1,2,2,3,0,0
Chicago Culture Center,4,0,0,0,0,5,0,0,0,0,4,2,0,0,3,1,0,0,0,0,0,1,0,0
Green Mill Cocktail Lounge,0,5,0,0,0,0,0,3,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0
National Museum of Mexican Art,5,0,5,2,0,2,0,0,5,0,1,3,0,0,1,2,0,4,1,0,0,3,0,1
Brookfield Zoo,5,0,0,0,4,0,4,0,0,0,1,3,4,0,2,0,3,5,1,5,3,2,0,3
Chicago History Museum,5,0,0,0,0,3,0,0,0,0,5,2,3,0,3,4,0,5,1,0,0,2,0,1
Humboldt Park,4,1,0,0,0,4,0,4,5,0,3,3,2,0,2,5,2,0,2,0,0,1,0,4
Water Tower Place,5,0,0,0,0,3,1,0,0,0,5,2,0,0,5,5,0,2,0,0,0,0,0,0
