,Alien,Avatar,Blade Runner,Braveheart,Dodgeball,Forest Gump,Gladiator,Jaws,Kazaam,Lord of the Rings,Napolean Dynamite,Old School,Pootie Tang,Pulp Fiction,Scarface,Shawshank Redemption,Snakes on a Plane,Spiderman,Star Wars,The Dark Knight,The Happening,The Matrix,Toy Story,Village,You Got Mail
Patrick C,,4,5,4,5,4,,,,4,3,3,,,,5,4,4,5,4,,3,4,,
Heather,,5,,,4,5,5,5,,4,4,,,,4,,,3,5,5,,4,3,,
Bryan,,5,,5,3,4,5,4,3,3,,4,,4,,5,,4,4,5,,3,3,3,
Patrick T,,4,,,,3,,,5,,,5,,,,,,4,5,4,,5,4,,
Thomas,5,,5,4,4,3,4,4,,,5,5,,4,5,,4,5,5,4,,4,4,,
aaron,4,,4,4,,,4,,,5,,,,3,4,5,,3,3,,,4,5,,3
vanessa,,4,,3,4,4,4,,,,4,3,,,4,,,,3,,,4,4,,
greg,,3,1,4,5,5,5,3,,3,4,5,,4,4,5,,4,5,4,,4,5,,
brian,4,,5,4,3,5,5,3,,5,4,4,,5,,5,3,4,5,4,,5,5,4,3
ben,,3,5,,4,5,5,,,,4,4,,4,4,5,,4,5,5,,4,5,3,
Katherine,,5,,3,5,5,3,,,4,,,,,,,,5,5,,,4,5,,
Jonathan,,4,,4,5,5,4,3,,4,3,5,,5,4,,,3,5,5,,5,5,,
Zwe,,4,,3,3,5,3,,,3,3,4,,4,,4,,4,4,5,,4,4,4,
Erin,,4,,4,3,5,,3,,4,,,,,,,,3,3,,,4,5,,
Chris,,,5,,3,3,3,,,3,,5,3,5,3,4,3,,4,3,,4,3,3,
Zak,,5,,5,3,5,5,,,4,,5,,5,3,,,3,5,5,,5,4,4,
Matt,,,,,,4,,,,,3,,,,,,,3,,,,,4,,
Chris,4,,3,4,3,5,3,5,,4,,4,,5,,4,3,,5,4,,,4,,
Josh,3,4,,,,4,4,5,,,,,,,,,,4,5,4,,5,4,4,
Amy,,3,3,3,4,4,,3,,,,3,,4,,,,3,,4,,5,4,,
Valerie,,,3,4,3,5,3,,,5,5,3,,3,4,5,1,5,5,5,1,4,5,,
Gary,,1,1,5,4,4,3,4,1,3,4,5,,3,3,5,,,5,,,,4,,1
Stephen,5,4,,5,3,1,4,,,5,,,,3,,,,3,5,4,1,5,4,,
Jessica,,,,,,4,,3,,3,,,,4,,,,3,5,5,,,5,,
Jeff,4,4,5,4,3,4,4,5,,3,3,3,5,3,,,1,4,5,5,,5,5,,
